Categoría,Imagen,Sku,Título,Descripción,Costo,Dimensiones,Peso
DESECHABLE,,I19-1K-10AZ,CASSETTE KINGDEN 10 INSTRUMENTOS AZUL,● Cassette de plástico autoclavable con capacidad para 10 instrumentos. Es ideal para mantener su instrumental ordenado.,$204.00,31.5*14.5*2.5,155gr
DESECHABLE,,I19-1K-31AM,CASSETTE KINGDEN CHICO AMARILLO,● Cassette de plástico autoclavable con capacidad para 10 instrumentos. Es ideal para mantener su instrumental ordenado.,$75.00,20.2*4.5*5,62gr
DESECHABLE,,I19-1K-31AC,CASSETTE KINGDEN CHICO AZUL CLARO,● Cassette de plástico autoclavable con capacidad para 4 instrumentos. Es ideal para mantener su instrumental ordenado.,$75.00,20.2*4.5*5,62gr
DESECHABLE,,I19-1K-31F,CASSETTE KINGDEN CHICO FUCSIA,● Cassette de plástico autoclavable con capacidad para 10 instrumentos. Es ideal para mantener su instrumental ordenado.,$75.00,20.2*4.5*5,62gr
DESECHABLE,,I19-1K-31R,CASSETTE KINGDEN CHICO ROSA,● Cassette de plástico autoclavable con capacidad para 10 instrumentos. Es ideal para mantener su instrumental ordenado.,$75.00,20.2*4.5*5,62gr
DESECHABLE,,I19-1K-31V,CASSETTE KINGDEN CHICO VERDE,● Cassette de plástico autoclavable con capacidad para 10 instrumentos. Es ideal para mantener su instrumental ordenado.,$75.00,20.2*4.5*5,62gr
DESECHABLE,,I19-1K-7A,CAJA KINGDEN P/RETENEDOR CLASICO MULTICOLOR C/30,● Caja de plástico para guardar y transportar los aparatos de ortodoncia.,$240.00,30*12*30cm,1kg
DESECHABLE,,I19-1K-16B,CAJA KINGDEN P/RETENEDOR DIENTE MULTICOLOR C/7,● Caja de plástico para guardar y transportar los aparatos de ortodoncia.,$230.00,27*22*3,253gr
DESECHABLE,,I19-1K-18,CAJA AMBAR P/RESINA KINGDEN,● Caja para trabajar Resina,$150.00,10*5.7*2,20gr
DESECHABLE,,M38-1K-1A,CEPILLO PROFILAXIS KINGDEN BROCHA COLOR AR C/100,● Para profilaxis AR,$216.00,9*6*3.3,123gr
DESECHABLE,,M38-1K-2A,CEPILLO PROFILAXIS KINGDEN CONTRANGULO PUNTA COLOR C/100,● Para profilaxis AR,$216.00,9*6*3.3,122gr
DESECHABLE,,I79-1K-1,PUNTAS P/JERINGA TRIPLE KINGDEN DESECHABLE BOLSA C/250,"Puntas para jeringa triple de plàstico, desechables, 1 jeringa de 3 vías",$284.00,22*17*4,289gr
