Categoría,Imagen,Sku,Título,Descripción,Costo,Dimensiones,Peso
LABORATORIO,,I8-1K-2,ARTICULADOR KINGDEN DE VISAGRA MAGICART,"● Articulador mecanico para fijar los dientes maxilares (superiores) y mandibulares (inferiores), reproducir las posiciones registradas de la mandíbula en relación con el maxilar, puede montar y eliminar de forma segura cualquier modelo de tamaño completo",$419.00,8*7*13,30gr
LABORATORIO,,I8-1K-11,ARTICULADOR KINGDEN P/ZOCALO RANURADO C/100,● Articulador para zocalos dentales de yeso.,$160.00,6.5*4.3*1,6gr
EQUIPO,,E12-1K-3,CAMARA INTRAORAL DENTAL KINGDEN WIFI C/BASE,"● camara para Endoscopia dental HD. Cámara oral con Respuesta rápida. Diseño portátil con señal WiFi remota y una apariencia simple, liviana y aerodinámica. Con cargador usb y base de soporte","$1,594.00",25*1.5*2,8gr
EQUIPO,,E9-1K-3,ESCARIADOR KINGDEN C/BOTE,"Lamáquina de limpieza dental ultrasónica ds7+ adopta un sistema de seguimiento de frecuencia totalmente automático. El producto puede realizar limpieza dental, salón de belleza y mascotas.","$6,500.00",40*15*30,3kg
EQUIPO,,E27-1K-2,MOTOR ELECTRICO KINGDEN P/PIEZA DE MANO 8078 PANTALLA TACTIL,"La velocidad máxima es de 40.000 RPM. El motor sin escobillas es más duradero. Control de pie del sillón dental con manos libres. • Perfectamente conectado con el sistema del sillón dental. Compatible con contraángulo 1:1, 1:5 y 16:1. La conexión de enchufe y enchufe es fácil de montar. La intensidad de 32.000 LUX ofrece una excelente visión de funcionamiento.","$19,000.00",24. 8cm*31.1cm*8.7cm,"1,66kg"
EQUIPO,,E14-1K-2,LAMPARA DE LUZ LED KINGDEN P/FOTOCURAR,● Modo de blanqueamiento de hasta 30 minutos. Modo de fotocurado fuerte: 5s-40s ajustable. Potencia de luz de más de 1700mw/c㎡. Tiempo de solidificación y profundidad：5s/3mm. Guía de luz de vidrio de alta transparencia. LED de potencia alta de 5W,"$1,400.00",14*7.4*6.8,186gr
EQUIPO,,E14-1K-3,LAMPARA P/FOTOCURAR KINGDEN MOD. LED-B 4 ETAPAS 1-10 SEG,"● Lampára de fotocurado de plastico de alta calidad inalambrica, con base de carga, guia de luz y filtro UV. Con tiempo de trabajo ajustable de 5 a 40 seg","$1,000.00",31cm x 34cm x 260cm.,150 g
EQUIPO,,E14-1K-50,PANTALLA PROTECTORA LED HALOGENA,● Pantalla protectora de luz LED,$85.00,24*12.5*0.3,7gr
EQUIPO,,E14-1K-18,PANTALLA PROTECTORA P/LAMPARA FILTRO UV,"●Pantalla con filtro para lámpara de fotocurado compatible con
cualquier fibra",$54.00,7.3X6.3cm,5gr
EQUIPO,,E13-1K-8,LUPA DE MANO KINGDEN C/AUMENTO Y LUZ LED,● Lupa de mano con aumento y luz LED,$85.00,18.5*8*1.5,100gr
EQUIPO,,KIN-16N,ESTERILIZADOR A VAPOR KINGDEN CLASE N AZUL 16L,"110V/60HZ,16L","$18,000.00",51*45*39,30kg
EQUIPO,,KIN-18N,ESTERILIZADOR A VAPOR KINGDEN CLASE N AZUL 18L,"110V/60HZ,18L","$19,375.00",42*38*52,45kg
EQUIPO,,KIN-23N,ESTERILIZADOR A VAPOR KINGDEN CLASE N AZUL 23L,110V/60HZ 23L,"$24,750.00",62*43*38,50kg
INSTRUMENTAL,,I47-1K-SC1,CONTRASTE KINGDEN PALATAL NEGRO SC1 FLEXIBLE,"● Autoclavable, caucho de plástico de grado médico no alérgico, suave se plegable 30° opaco y sin reflejos #2 Contraste de Foto Lingual/Bucal",$450.00,22*6.5*0.2,76gr
INSTRUMENTAL,,I47-1K-SC2,CONTRASTE KINGDEN VESTIBULAR NEGRO SC2 FLEXIBLE,"● Autoclavable, caucho de plástico de grado médico no alérgico, suave se plegable 30° opaco y sin reflejos #2 Contraste de Foto Lingual/Bucal",$450.00,18.8*7.9*0.2,35GR
INSTRUMENTAL,,I137-1K-1B,RETRACTOR KINGDEN DOS VIAS NEGRO ADULTO,"● Retractor de 2 paletas para cada extremo, diseñado para retraer mejillas y carrillos, empleado como auxiliar en la toma de fotografías intra y extraorales.",$148.00,16.5*4*1.6,20gr
INSTRUMENTAL,,I137-1K-1A,RETRACTOR KINGDEN DOS VIAS NEGRO INFANTIL,"● Retractor de 2 paletas para cada extremo, diseñado para retraer mejillas y carrillos, empleado como auxiliar en la toma de fotografías intra y extraorales.",$148.00,14.5*4*1.3,12gr
INSTRUMENTAL,,I137-1K-2B,RETRACTOR KINGDEN DOS VIAS BLANCO ADULTO,"● -Forma oval para fotografia frontal
-Forma < para fotografia latera",$250.00,16.5*4*1.6,20gr
INSTRUMENTAL,,I1-1K-5C,RETRACTOR KINGDEN DE PLASTICO PEQUEÑO CON ASA,● Ayuda a proporcionar un campo de visión más amplio para infantil,$60.00,17.7*1.7*9.4,21gr
INSTRUMENTAL,,I1-1K-7B,RETRACTOR KINGDEN DE PLASTICO 3D ORTODONCIA ADULTO,● Ayuda a proporcionar un campo de visión más amplio,$120.00,10.8*7.3*2.6,10gr
INSTRUMENTAL,,I1-1K-7A,RETRACTOR KINGDEN DE PLASTICO 3D ORTODONCIA PEQUEÑO,"● Ayuda a proporcionar un campo de visión más amplio, para infantil",$120.00,10.4*6.7*2.2,9gr
INSTRUMENTAL,,I1-1K-3B,RETRACTOR KINGDEN DE PLÁSTICO BLANCO EN FORMA DE O,● Ayuda a proporcionar un campo de visión más amplio,$46.00,7.4*7.7*0.9,6gr
INSTRUMENTAL,,I1-1K-3C,RETRACTOR KINGDEN DE PLÁSTICO AZUL EN FORMA DE O,● Ayuda a proporcionar un campo de visión más amplio,$46.00,7.4*7.7*0.9,6gr
INSTRUMENTAL,,I137-1K-4B,RETRACTOR KINGDEN DE PLASTICO CHICO FORMA EN C,● Ayuda a proporcionar un campo de visión más amplio,$30.00,9.5*3.5*6.7,8gr
INSTRUMENTAL,,I137-1K-4D,RETRACTOR KINGDEN DE PLASTICO GRANDE FORMA EN C,● Ayuda a proporcionar un campo de visión más amplio,$30.00,13.5*4.7*8.5,13gr
INSTRUMENTAL,,I137-1K-4C,RETRACTOR KINGDEN DE PLASTICO MEDIANO FORMA EN C,● Ayuda a proporcionar un campo de visión más amplio,$30.00,11.7*3.8*8.2,9gr
INSTRUMENTAL,,I6-1K-4A,ARCO DE YOUNG AZUL KINGDEN C/BISAGRA,● Ayuda a proporcionar un campo de visión más amplio,$75.00,14.19.8*1.3,29gr
INSTRUMENTAL,,I6-1K-4K,ARCO DE YOUNG LILA KINGDEN C/BISAGRA,● Ayuda a proporcionar un campo de visión más amplio,$75.00,14.19.8*1.3,29gr
INSTRUMENTAL,,I6-1K-4H,ARCO DE YOUNG NEGRO KINGDEN C/BISAGRA,● Ayuda a proporcionar un campo de visión más amplio,$75.00,14.19.8*1.3,29gr
INSTRUMENTAL,,I6-1K-4D,ARCO DE YOUNG VERDE KINGDEN C/BISAGRA,● Ayuda a proporcionar un campo de visión más amplio,$75.00,14.19.8*1.3,29gr
INSTRUMENTAL,,I6-1K-2C,ARCO DE YOUNG KINGDEN FIBRA DE CARBONO GRANDE,"● Sujeta el dique de hule, auxiliar en los tratamientos de opetaroria y endodoncia, creando un aislamiento absoluto en el diente a tratar.",$30.00,14.3*14.5*0.7,11gr
INSTRUMENTAL,,I6-1K-6C,ARCO DE YOUNG KINGDEN METALICO GRANDE,● Ayuda a proporcionar un campo de visión más amplio,$70.00,13.6*12.7*0.3,26gr
INSTRUMENTAL,,I6-1K-6B,ARCO DE YOUNG KINGDEN METALICO MEDIANO,● Ayuda a proporcionar un campo de visión más amplio,$70.00,11.2*9.2*0.3,16gr
INSTRUMENTAL,,I6-1K-6A,ARCO DE YOUNG KINGDEN METALICO CHICO,● Ayuda a proporcionar un campo de visión más amplio,$70.00,8.9*8.8*0.3,14gr
INSTRUMENTAL,,I25-1K-2,ADAPTADOR KINGDEN P/PIEZA DE ALTA C/10,"Es un accesorio esencial en la consulta dental, ya que permite utilizar fresas de alta velocidad en piezas de mano de baja (contra-ángulo o micromotor). Fabricado con materiales de alta durabilidad y precisión, es ideal para prácticas generales, laboratorio o procedimientos clínicos.",$390.00,4.9*7.2*2,27gr
INSTRUMENTAL,,I45-1K-3,ESPATULA KINGDEN DE LE-CRON,● Instrumental espátula de le-cron,$45.00,2*23.2,20gr
INSTRUMENTAL,,I45-1K-1,ESPATULA KINGDEN P/CEMENTO DOBLE,"● Instrumental espátula para cemento, doble",$45.00,2*23.2,22gr
INSTRUMENTAL,,I20-1K-1,CALIBRADOR IWANSON P/METAL KINGDEN,● Calibrador para metal,$120.00,7.9*15.8*2,25gr
INSTRUMENTAL,,I115-1K-6X,PINCEL P/PORCELANA KINGDEN ECO C/5,"● Madera, cerdas de nylon , cabeza plana, aprox. 17,8 cm, ancho de la cabeza: 5mm/6mm/7mm/8mm/9mm. 1. Cada cepillo está protegido por un tubo de plástico transparente. 2. Las pinturas del portalápices a través del procesamiento profesional no se caen y se desvanecen al sumergirse en el agua. 3. Adecuado para uso profesional o uso doméstico. 4. Fácil de manejar y operar. 
5. Herramientas perfectas especialmente diseñadas para el trabajo de laboratorio dental. 6.Ideal para dibujar líneas y dibujo fino en puntas de uñas. 7. Peso ligero, tamaño compacto, conveniente para transportar y almacenar. 8. 5 unidades/juego.",$300.00,4.5*22.7*2,24gr
INSTRUMENTAL,,I22-1K-25,CANULA DE REPUESTO KINGDEN P/IRRIGADOR C/4,● Canula,$52.00,6*12.8*2,9gr
INSTRUMENTAL,,I70-1K-2,GANCHO KINGDEN RAY SNAP RHIN,● Ideal para toma de radiografías periapicales en anteriores y posteriores. Angulacion de 70° en la parte cuerva para Rx. de dientes anteriores.,$85.00,11.9*2.6*1.2,17gr
INSTRUMENTAL,,I70-1K-3,GANCHO ENDO RAY KINGDEN C/3,● Ideal para toma de radiografías.,$250.00,10.5*4.1*7.7,75gr
INSTRUMENTAL,,I70-1K-1,COLIMADORES XCP KINGDEN,● Para crear imágenes sin distorsión y con detalles. El FPS 3000 hace la guía para las radiografías más fácil. Puede ser utilizado para todas las radiografías intraoral dental con películas de tamaño #0 #1 #2 #3. Autoclavable,$578.00,24.4*34*4.2,25gr
INSTRUMENTAL,,I19-1K-13K,CASSETTE KINGDEN ACERO C/TAPA 8,● Caja para instrumental,$250.00,21.1*4.3*12.3,344gr
INSTRUMENTAL,,I19-1K-13M,CASSETTE KINGDEN ACERO C/TAPA 9,● Caja para instrumental,$280.00,24 x 16 x 5cm,800gr
INSTRUMENTAL,,I138-1K-10,CHAROLA METAL KINGDEN GRANDE LISA,"● Bordes redondeados y lisos, ahorro de espacio, acero inoxidable. 1/4 LT",$100.00,22.4*11.7*2,128gr
INSTRUMENTAL,,I138-1K-1B,RIÑON DE METAL KINGDEN PLANO MEDIANO,"● Bordes redondeados, lisos, acero inoxidable. 1/2 LT",$150.00,10.9*18*2,83gr
INSTRUMENTAL,,I138-1K-1A,RIÑON DE METAL KINGDEN PLANO GRANDE,"● Bordes redondeados y lisos, ahorro de espacio, acero inoxidable.",$170.00,12.6*19.5*2,156gr
INSTRUMENTAL,,I138-1K-3,RIÑON DE METAL KINGDEN CHICO,"● Bordes redondeados, lisos, acero inoxidable. 1/4 LT",$88.00,17.5 x 7.5 x 3cm,400gr
INSTRUMENTAL,,I73-1K-11,GODETE DE SILICON KINGDEN #1 PZA,● Godete de silicón para mezcla,$12.00,12.21*9.1*3.4,9
INSTRUMENTAL,,I73-1K-13,GODETE DE SILICON KINGDEN #1.5 PZA,● Godete de silicón para mezcla,$12.00,12.21*9.1*4.5,11
INSTRUMENTAL,,I73-1K-40B,GODETE KINGDEN DE CRISTAL OCTOGONAL AZUL,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40F,GODETE KINGDEN DE CRISTAL OCTOGONAL MORADO,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40G,GODETE KINGDEN DE CRISTAL OCTOGONAL NEGRO,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40H,GODETE KINGDEN DE CRISTAL OCTOGONAL ROJO,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40C,GODETE KINGDEN DE CRISTAL OCTOGONAL ROSA,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40D,GODETE KINGDEN DE CRISTAL OCTOGONAL TRANSPARENTE,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I73-1K-40E,GODETE KINGDEN DE CRISTAL OCTOGONAL VERDE,"●Fabricado de vidrio, cómodo al espacio de la charola para instrumental, para la colocación de líquidos y pastas dentales.",$10.00,3.2*3.2*0.3,32gr
INSTRUMENTAL,,I83-1K-5,GOOGLE DE PROTECCION TRANS ANTIEMPAÑANTE,"● Para trabajos de riesgo moderado, adaptable, policarbonato, con marco de PVC. Resistentes, borde suave, ajustables y comodos, su diseño de ventilación evita el empañamiento de los lentes.",$60.00,15*7*2.5,61gr
INSTRUMENTAL,,I83-1K-1N,LENTE P/PROTECCION KINGDEN NEGRO,"● útiles para proteger los ojos durante trabajos de riesgo moderado, adaptable",$46.00,15.5*5.3*2,40gr
INSTRUMENTAL,,I83-1K-1A,LENTE P/PROTECCION KINGDEN AMARILLO,"● útiles para proteger los ojos durante trabajos de riesgo moderado, adaptable",$46.00,15.5*5.3*2,40gr
INSTRUMENTAL,,I83-1K-1V,LENTE P/PROTECCION KINGDEN VERDE,"● útiles para proteger los ojos durante trabajos de riesgo moderado, adaptable",$46.00,15.5*5.3*2,40gr
INSTRUMENTAL,,I128-1K-10,PORTA IMPRESION KINGDEN PLASTICO JGO C/10,● Juego con 10 piezas,$103.00,20.5*21.9*2,83gr
INSTRUMENTAL,,I60-1K-1,FORMADOR KINGDEN P/MODELOS ZOCALOS JGO C/6,● Juego con 6 piezas,$92.00,13.5*24*2,200gr
INSTRUMENTAL,,I132-1K-1,PORTA ROLLOS P/ALGODON KINGDEN PZA,● Soporte para algodon. Este ayuda mejor soporte en la boca,$10.00,12.7*19.2*2,6gr
MATERIAL,,I21-1K-1,PUNTAS INTRAORALES KINGDEN AMARILLAS C/100,"● Punta dispensadora fabricada en plástico de alta calidad, angulada, adaptable",$250.00,11.58*2,10gr
MATERIAL,,I22-1K-6,CANULA MEZCLADORA KINGDEN AZUL P/PROTEMP C/50,"● Puntas homogéneas, manejo sencillo. Dispensa solo la cantidad de material necesaria.",$325.00,15.8*23.5*2,121gr
MATERIAL,,I22-1K-20,CANULA MEZCLADORA KINGDEN NEGRO P/CORE C/50,"● Puntas homogéneas, manejo sencillo. Dispensa solo la cantidad de material necesaria.",$325.00,13.2*13.4*2,54gr
MATERIAL,,I114-1K-1,PISTOLA KINGDEN P/COMPULES,● Dispensador de compul hecha de de plástico,$226.00,15*11*3,54gr
MATERIAL,,M1-1K-2B,ACETATO P/GUARDA KINGDEN RIGIDO CUADRADO #0.40 C/20,"● Excelente propiedades de termoformado, resistencia a las fuerzas de oclusión, propiedades quimicas adecuadas que evitan
decoloración.",$169.00,12.8*12.8*2,468gr
MATERIAL,,M1-1K-3B,ACETATO P/GUARDA KINGDEN RIGIDO CUADRADO #0.60 C/15,"● Excelente propiedades de termoformado, resistencia a las fuerzas de oclusión, propiedades quimicas adecuadas que evitan
decoloración.",$169.00,12.8*12.8*2,468gr
MATERIAL,,M1-1K-4B,ACETATO P/GUARDA KINGDEN RIGIDO CUADRADO #0.80 C/10,"● Excelente propiedades de termoformado, resistencia a las fuerzas de oclusión, propiedades quimicas adecuadas que evitan
decoloración.",$169.00,12.8*12.8*2,468gr
MATERIAL,,M1-1K-12B,ACETATO P/GUARDA KINGDEN SUAVE CUADRADO #0.40 C/20,"● Excelente propiedades de termoformado, resistencia a las fuerzas de oclusión, propiedades quimicas adecuadas que evitan
decoloración.",$169.00,12.8*12.8*2,289gr
MATERIAL,,M50-1K-5,CINTA TESTIGO KINGDEN 12MMX50MM,● Cinta testigo kingden 12mmx50mm,$45.00,12*1.2,76gr
MATERIAL,,M50-1K-5A,CINTA TESTIGO KINGDEN 19MMX50MM,● Cinta testigo kingden 19mmx50mm,$50.00,12*1.9,120gr
PRACTICA,,D2-1K-11,1X10 DIENTE P/ENDODONCIA KINGDEN C/RAIZ JGO,● Modelo radicular para práctica endodóntica.,$450.00,12*17.1*2,15gr
PRACTICA,,D2-1K-2,1X28 MODELO DIDACTICO KINGDEN EN DADO 2X,"●Ampliador 2X 
●Equipo de enseñanza",$500.00,12.2*9.1*3.9,149gr
PRACTICA,,D2-1K-4,1X28 MODELO DIDACTICO KINGDEN 1.2X,"● Ampliador 1.2X, Equipo de enseñanza",$555.00,12.2*9.1*3.9,149gr
PRACTICA,,I150-1K-6,MODELO DIDACTICO KINGDEN IMPLANTOLOGIA Y PROTESIS,"●Ampliador 1.4X 
●Equipo de enseñanza",$460.00,10*9.7*6.8,188gr
PRACTICA,,I150-1K-7,MODELO DENTAL KINGDEN CARIES S/PATOLOGIAS,"●Ampliador 1.4X 
●Equipo de enseñanza",$437.00,10*8*6,198gr
PRACTICA,,I150-1K-5B,MODELO KINGDEN 1/4 DE ARCADA 3ER MOLAR IMPACTADO INF,"●Ampliador 1.3X 
●Equipo de enseñanza",$474.00,14*5.7*5.7,166gr
PRACTICA,,I150-1K-30,TIPODONTO KINGDEN DIDACTICO C/LENGUA GIGANTE,"●Ampliador 1.4X 
●Equipo de enseñanza",$450.00,22.8*16.7*11.8,741gr
PRACTICA,,I150-1-15,TIPODONTO KINGDEN DIDACTICO C/CEPILLO,"●Ampliador 1.4X 
●Equipo de enseñanza",$350.00,17.8*11.6*10.9,221gr
PRACTICA,,I150-1K-34,TIPODONTO KINGDEN C/BRACKET,"● Adecuado para educación dental, enseñanza de brackets, fácil de utilizar hecho de resina",$415.00,7.7*10*6.4,135gr
PRACTICA,,I150-1K-36,TIPODONTO KINGDEN MALA OCLUSION C/BRACKET,"● Adecuado para educación dental, enseñanza de brackets, fácil de utilizar hecho de resina",$712.00,7*6.7*7.9,155gr
PRACTICA,,I150-1-FE,TIPODONTO KINGDEN TIPO COLUMBIA 24 ENCIA BLANDA INFANTIL,"● Infantil con 24 dientes y enc í a blanda, fabricado con materiales de alta calidad. Podrá realizar prácticas como la colocación de coronas acero cromo, toma de impresiones y operatoria dental.",$850.00,6.5*7.6*12,290gr
PRACTICA,,I150-1-DP,TIPODONTO KINGDEN TIPO COLUMBIA 32 ENCIA BLANDA ADULTO,"● Adulto con 32 dientes y enc í a blanda, fabricado con materiales de alta calidad. Ú til para pr á cticas como toma de impresiones, operatoria, prótesis dental y ortodoncia.","$1,050.00",12*8.7*7,290gr
PRACTICA,,I150-1K-26,TIPODONTO KINGDEN TIPO NISSIN 24 ENCIA BLANDA INFANTIL,"● Adecuado para educación dental, enseñanza de brackets, fácil de utilizar hecho de resina",$680.00,6*8*10.5,290gr
PRACTICA,,I150-1K-40,CARODONTO KINGDEN,"● La cubierta de la cabeza hecha de material de resina transparente de alta resistencia. La boca está hecha de material de caucho biónico, con colores, sensación cercana a la piel humana, sensación cómoda y duradera.","$9,044.00",23*13*15.5,1kg
